b | 18.74
d | 15.36
k | 20.58
p | 15.81
t | 20.36
g | 0.00
jh | 0.57
ch | 8.16
s | 75.47
sh | 41.83
th | 0.00
v | 14.80
f | 32.29
dh | 5.32
z | 35.56
m | 10.70
n | 31.52
ng | 3.86
l | 7.93
r | 23.34
hh | 4.49
w | 5.73
y | 0.80
aa | 16.37
ae | 10.00
ah | 52.88
aw | 8.82
er | 11.58
ay | 21.05
eh | 13.02
ey | 18.95
ih | 11.16
iy | 31.72
ow | 3.17
oy | 0.00
uh | 0.00
uw | 0.76
sil | 88.45
